"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","full_address","rentalval","elevation","rent","longitude","latitude","landval_acre","landshare","landval","strval","parcel_id.x","parcel_id.y","retreat_year_Intermediate","retreat_year_Intermediate_High","retreat_year_High","X","Y"
"PAST SALE","November-24-2021","Condo/Co-op","4950 Sandyland Rd #229","Carpinteria","CA","93013",723210,1,1,"Sandyland Cove",436,NA,1962,NA,1720,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-229/home/21613806","SBMLS","21-4000","N","Y","4950 Sandyland Rd #229, Carpinteria, CA",1446,4.43,17352,-119.525032,34.394428,3180800,0.512,370283.52,352926.48,24,24,101,86,59,-119.525032,34.394428
"PAST SALE","January-18-2024","Condo/Co-op","4700 Sandyland Rd #16","Carpinteria","CA","93013",764640,1,1,"CPTA - Carpinteria",558,510,1970,NA,1254,825,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-16/home/21614011","CRMLS","SR23223244","N","Y","4700 Sandyland Rd #16, Carpinteria, CA",1459,3.73,17508,-119.5270762,34.3957702,3180800,0.512,391495.68,373144.32,25,25,101,61,40,-119.5270762,34.3957702
"PAST SALE","May-12-2023","Condo/Co-op","4902 Sandyland Rd #134","Carpinteria","CA","93013",817156,1,1,"CARPINTERIA-SUMMERLAND",462,435,1968,NA,1939,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4902-Sandyland-Rd-93013/unit-134/home/21615641","SBMLS","23-871","N","Y","4902 Sandyland Rd #134, Carpinteria, CA",1566,4.41,18792,-119.5251608,34.3945566,3180800,0.512,418383.872,398772.128,26,26,101,82,56,-119.5251608,34.3945566
"PAST SALE","January-13-2023","Single Family Residential","4595 Avenue Del Mar","Carpinteria","CA","93013",12500000,5,3.5,"CARPINTERIA-SUMMERLAND",2762,11325,1981,NA,4526,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4595-Del-Mar-Ave-93013/home/21614271","SBMLS","22-3572","N","Y","4595 Avenue Del Mar, Carpinteria, CA",8410,2.4,100920,-119.529523,34.395382,3180800,0.512,6400000,6100000,27,27,1,1,1,-119.529523,34.395382
"PAST SALE","June-5-2024","Condo/Co-op","4700 Sandyland Rd #35","Carpinteria","CA","93013",985115,2,2,"CARPINTERIA-SUMMERLAND",828,435,1970,NA,1164,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-35/home/21613995","SBMLS","24-1241","N","Y","4700 Sandyland Rd #35, Carpinteria, CA",2084,3.73,25008,-119.5270762,34.3957702,3180800,0.512,504378.88,480736.12,28,28,101,70,46,-119.5270762,34.3957702
"PAST SALE","August-31-2020","Condo/Co-op","4925 Sandyland Rd #E","Carpinteria","CA","93013",3120000,2,2,"Sandyland Cove",1443,NA,1987,NA,2162,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4925-Sandyland-Rd-93013/unit-E/home/21613405","SBMLS","20-2192","N","Y","4925 Sandyland Rd #E, Carpinteria, CA",2556,3.96,30672,-119.525621,34.3941663,3180800,0.512,1597440,1522560,29,29,1,1,1,-119.525621,34.3941663
"PAST SALE","November-9-2023","Townhouse","4700 Sandyland Rd #29","Carpinteria","CA","93013",1053553,2,2,"CARPINTERIA-SUMMERLAND",NA,NA,1970,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-29/home/21614000","SBMLS","23-2363","N","Y","4700 Sandyland Rd #29, Carpinteria, CA",2074,3.73,24888,-119.5270762,34.3957702,3180800,0.512,539419.136,514133.864,30,30,101,64,42,-119.5270762,34.3957702
"PAST SALE",NA,"Condo/Co-op","4950 Sandyland Rd #223","Carpinteria","CA","93013",765523,1,1,NA,574,NA,1962,NA,836,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-223/home/21613800",NA,NA,"N","Y","4950 Sandyland Rd #223, Carpinteria, CA",1485,4.43,17820,-119.525032,34.394428,3180800,0.512,391947.776,373575.224,31,31,101,84,58,-119.525032,34.394428
"PAST SALE","October-15-2024","Single Family Residential","4815 Sandyland Rd #A","Carpinteria","CA","93013",3965000,4,4,"CARPINTERIA-SUMMERLAND",2196,NA,2009,NA,1806,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4815-Sandyland-Rd-93013/unit-A/home/40438526","SBMLS","24-2661","N","Y","4815 Sandyland Rd #A, Carpinteria, CA",4305,3.59,51660,-119.5269026,34.3948611,3180800,0.512,2030080,1934920,32,32,1,1,1,-119.5269026,34.3948611
"PAST SALE","July-10-2024","Condo/Co-op","4700 Sandyland Rd #51","Carpinteria","CA","93013",941338,2,2,"CARPINTERIA-SUMMERLAND",828,435,1970,NA,1168,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-51/home/21614387","SBMLS","24-1471","N","Y","4700 Sandyland Rd #51, Carpinteria, CA",2084,3.73,25008,-119.5270762,34.3957702,3180800,0.512,481965.056,459372.944,33,33,101,73,49,-119.5270762,34.3957702
