SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,rentalval,rentalval_note
PAST SALE,October-15-2024,Single Family Residential,4815 Sandyland Rd #A,Carpinteria,CA,93013,3965000,4,4,CARPINTERIA-SUMMERLAND,2196,NA,2009,NA,1806,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4815-Sandyland-Rd-93013/unit-A/home/40438526,SBMLS,24-2661,N,Y,34.3948611,-119.5269026,"4815 Sandyland Rd #A, Carpinteria, CA",NA,not_found
PAST SALE,August-9-2022,Single Family Residential,607 Sand Point Rd,Carpinteria,CA,93013,23000000,4,4,CARPINTERIA-SUMMERLAND,3476,52272,1963,NA,6617,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/607-Sand-Point-Rd-93013/home/21612920,SBMLS,22-1347,N,Y,34.3994895,-119.5400456,"607 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,4315 Del Mar Ave,Carpinteria,CA,93013,8000000,2,3,NA,1922,13068,1930,NA,4162,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4315-Del-Mar-Ave-93013/home/21614292,NA,NA,N,Y,34.3967051,-119.5341613,"4315 Del Mar Ave, Carpinteria, CA",NA,not_found
PAST SALE,January-23-2025,Condo/Co-op,4975 Sandyland Rd #109,Carpinteria,CA,93013,3200000,2,1,CARPINTERIA-SUMMERLAND,683,871,1964,NA,4685,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-109/home/21613652,SBMLS,24-3157,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #109, Carpinteria, CA",NA,not_found
PAST SALE,June-7-2021,Condo/Co-op,4975 Sandyland Rd #206,Carpinteria,CA,93013,1158116,2,1,CARPINTERIA-SUMMERLAND,683,NA,1964,NA,1977,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-206/home/21613644,SBMLS,21-305,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #206, Carpinteria, CA",NA,not_found
PAST SALE,September-4-2024,Condo/Co-op,4950 Sandyland Rd #230,Carpinteria,CA,93013,724786,1,1,CARPINTERIA-SUMMERLAND,436,NA,1962,NA,1718,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-230/home/21613807,SBMLS,24-433,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #230, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,4755 Sandyland Rd #6,Carpinteria,CA,93013,1283919,2,1,NA,875,871,1959,NA,1337,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-6/home/21614167,NA,NA,N,Y,34.395378,-119.5279833,"4755 Sandyland Rd #6, Carpinteria, CA",NA,not_found
PAST SALE,NA,Condo/Co-op,4975 Sandyland Rd #210,Carpinteria,CA,93013,1310769,2,1,NA,683,NA,1964,NA,2236,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-210/home/21613639,NA,NA,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #210, Carpinteria, CA",NA,not_found
PAST SALE,July-6-2011,Condo/Co-op,4825 Sandyland Rd #4,Carpinteria,CA,93013,2267235,2,2,Sandyland Cove,966,NA,1978,NA,1128,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-4/home/21612908,SBMLS,11-380,Y,Y,34.394747,-119.526726,"4825 Sandyland Rd #4, Carpinteria, CA",NA,not_found
PAST SALE,NA,Condo/Co-op,4825 Sandyland Rd #7,Carpinteria,CA,93013,918048,2,2,NA,966,NA,1978,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-7/home/21612905,NA,NA,Y,Y,34.3948,-119.526516,"4825 Sandyland Rd #7, Carpinteria, CA",NA,not_found
PAST SALE,NA,Condo/Co-op,4825 Sandyland Rd #8,Carpinteria,CA,93013,908731,2,2,NA,966,NA,1978,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-8/home/21612904,NA,NA,Y,Y,34.394714,-119.526593,"4825 Sandyland Rd #8, Carpinteria, CA",NA,not_found
PAST SALE,July-22-2003,Condo/Co-op,4880 Sandyland Apt 12 Rd,Carpinteria,CA,93013-2318,777504,1,1,Carpinteria,NA,NA,1962,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4880-Sandyland-Rd-93013/unit-12/home/21614237,SBMLS,03-1391,Y,Y,34.394871,-119.525729,"4880 Sandyland Apt 12 Rd, Carpinteria, CA",NA,not_found
PAST SALE,December-6-2004,Condo/Co-op,879 Sand Point Rd,Carpinteria,CA,93013-1107,5250000,5,4.5,CARPINTERIA-SUMMERLAND,NA,NA,2003,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/879-Sand-Point-Rd-93013/home/21611780,SBMLS,04-4120,Y,Y,34.4055391,-119.5475253,"879 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,871 Sand Point Rd,Carpinteria,CA,93013,4700000,4,4,NA,5235,6534,1997,NA,898,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/871-Sand-Point-Rd-93013/home/21611784,NA,NA,Y,Y,34.4047826,-119.5469257,"871 Sand Point Rd, Carpinteria, CA",9776,text
PAST SALE,June-6-2014,Single Family Residential,869 Sand Point Rd,Carpinteria,CA,93013,8650000,6,5,CARPINTERIA-SUMMERLAND,5742,NA,1996,NA,1506,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/869-Sand-Point-Rd-93013/home/21523736,SBMLS,14-1791,Y,Y,34.4045559,-119.5467092,"869 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,863 Sand Point Rd,Carpinteria,CA,93013,1370736,2,1,NA,780,37026,1961,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/863-Sand-Point-Rd-93013/home/21611954,NA,NA,Y,Y,34.4050479,-119.5457756,"863 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,845 Sand Point Rd,Carpinteria,CA,93013,6100000,3,4,NA,2241,46174,1977,NA,2722,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/845-Sand-Point-Rd-93013/home/21611953,NA,NA,Y,Y,34.4045688,-119.5458531,"845 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,May-8-2012,Single Family Residential,841 Sand Point Rd,Carpinteria,CA,93013,5225000,4,4,Santa Barbara,2395,45738,1973,NA,2182,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/841-Sand-Point-Rd-93013/home/21612178,SBMLS,11-2580,Y,Y,34.4044467,-119.5456102,"841 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,NA,Single Family Residential,835 Sand Point Rd,Carpinteria,CA,93013,7513270,6,5,NA,5475,59677,2006,NA,311,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/835-Sand-Point-Rd-93013/home/21611956,NA,NA,Y,Y,34.4042248,-119.5453239,"835 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,April-13-2012,Single Family Residential,815 Sand Point Rd,Carpinteria,CA,93013,5500000,3,2,Carpinteria,2198,96703,1977,NA,2502,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/815-Sand-Point-Rd-93013/home/21611962,SBMLS,11-2340,Y,Y,34.4037732,-119.5447663,"815 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,January-22-1993,Single Family Residential,805 Sand Pt,Carpinteria,CA,93013,6553330,4,3,CARPINTERIA-SUMMERLAND,NA,100188,1964,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/805-Sand-Point-Rd-93013/home/21611955,SBMLS,92-2430,Y,Y,34.4034328,-119.5444334,"805 Sand Pt, Carpinteria, CA",NA,not_found
PAST SALE,February-1-2019,Single Family Residential,791 Sand Point Rd,Carpinteria,CA,93013,9725000,3,2.5,Sandyland Cove,2300,118483,1957,NA,4228,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/791-Sand-Point-Rd-93013/home/21611958,SBMLS,18-3403,Y,Y,34.4030894,-119.5441881,"791 Sand Point Rd, Carpinteria, CA",NA,not_found
