SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,November-24-2021,Condo/Co-op,4950 Sandyland Rd #229,Carpinteria,CA,93013,763093,1,1,Sandyland Cove,436,NA,1962,NA,1720,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-229/home/21613806,SBMLS,21-4000,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #229, Carpinteria, CA",38154.65,3179.554166666667,3179.554166666667,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,January-18-2024,Condo/Co-op,4700 Sandyland Rd #16,Carpinteria,CA,93013,720969,1,1,CPTA - Carpinteria,558,510,1970,NA,1254,825,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-16/home/21614011,CRMLS,SR23223244,N,Y,34.395661,-119.527155,"4700 Sandyland Rd #16, Carpinteria, CA",36048.450000000004,3004.0375000000004,3004.0375000000004,baseline_5pct,3.66,224.970880571991,0.224970880571991,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,June-5-2024,Condo/Co-op,4700 Sandyland Rd #35,Carpinteria,CA,93013,1014287,2,2,CARPINTERIA-SUMMERLAND,828,435,1970,NA,1164,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-35/home/21613995,SBMLS,24-1241,N,Y,34.395816,-119.527522,"4700 Sandyland Rd #35, Carpinteria, CA",50714.350000000006,4226.195833333334,4226.195833333334,baseline_5pct,3.5,222.8377510235171,0.22283775102351708,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,January-13-2023,Single Family Residential,4595 Avenue Del Mar,Carpinteria,CA,93013,12500000,5,3.5,CARPINTERIA-SUMMERLAND,2762,11325,1981,NA,4526,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4595-Del-Mar-Ave-93013/home/21614271,SBMLS,22-3572,N,Y,34.395382,-119.529523,"4595 Avenue Del Mar, Carpinteria, CA",625000,52083.333333333336,52083.333333333336,baseline_5pct,2.4,74.87172253703257,0.07487172253703257,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Condo/Co-op,4950 Sandyland Rd #223,Carpinteria,CA,93013,777436,1,1,NA,574,NA,1962,NA,836,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-223/home/21613800,NA,NA,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #223, Carpinteria, CA",38871.8,3239.316666666667,3239.316666666667,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,October-15-2024,Single Family Residential,4815 Sandyland Rd #A,Carpinteria,CA,93013,3965000,4,4,CARPINTERIA-SUMMERLAND,2196,NA,2009,NA,1806,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4815-Sandyland-Rd-93013/unit-A/home/40438526,SBMLS,24-2661,N,Y,34.3948611,-119.5269026,"4815 Sandyland Rd #A, Carpinteria, CA",198250,16520.833333333332,16520.833333333332,baseline_5pct,3.59,145.25004119831573,0.14525004119831572,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,August-9-2022,Single Family Residential,607 Sand Point Rd,Carpinteria,CA,93013,23000000,4,4,CARPINTERIA-SUMMERLAND,3476,52272,1963,NA,6617,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/607-Sand-Point-Rd-93013/home/21612920,SBMLS,22-1347,N,Y,34.3994895,-119.5400456,"607 Sand Point Rd, Carpinteria, CA",1150000,95833.33333333333,95833.33333333333,baseline_5pct,3.03,134.63751014010612,0.1346375101401061,57.8,3413,42,177,901,145066,1101,175,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Single Family Residential,4315 Del Mar Ave,Carpinteria,CA,93013,8000000,2,3,NA,1922,13068,1930,NA,4162,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4315-Del-Mar-Ave-93013/home/21614292,NA,NA,N,Y,34.3967051,-119.5341613,"4315 Del Mar Ave, Carpinteria, CA",400000,33333.333333333336,33333.333333333336,baseline_5pct,2.83,187.67843590475232,0.18767843590475233,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,January-23-2025,Condo/Co-op,4975 Sandyland Rd #109,Carpinteria,CA,93013,3200000,2,1,CARPINTERIA-SUMMERLAND,683,871,1964,NA,4685,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-109/home/21613652,SBMLS,24-3157,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #109, Carpinteria, CA",160000,13333.333333333334,13333.333333333334,baseline_5pct,4.06,129.97014644725382,0.12997014644725383,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,June-7-2021,Condo/Co-op,4975 Sandyland Rd #206,Carpinteria,CA,93013,1350000,2,1,CARPINTERIA-SUMMERLAND,683,NA,1964,NA,1977,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-206/home/21613644,SBMLS,21-305,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #206, Carpinteria, CA",67500,5625,5625,baseline_5pct,4.06,129.97014644725382,0.12997014644725383,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
