parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
141,High,LetItGo,81,81,81,111.26943940577657,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2 Paloma Ave,1125000,333000,792000,37.6364029,-122.4940205,56250,NA,NA,NA
142,High,LetItGo,81,81,81,81.7166672949576,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,35 Paloma Ave,984000,291264,692736,37.6367154,-122.4934899,49200,NA,NA,NA
143,High,LetItGo,81,81,81,82.07324642288604,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,15 Paloma Ave,1118818,331170.128,787647.872,37.636673,-122.4936467,55940.9,NA,NA,NA
144,High,LetItGo,81,81,81,83.32946128117985,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,7 PALOMA Ave,1087176,321804.096,765371.904,37.6366479,-122.4937585,54358.8,NA,NA,NA
145,High,LetItGo,81,81,81,69.02320671883086,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1581 Beach Blvd,1705911,504949.65599999996,1200961.344,37.6367851,-122.4939934,85295.55,NA,NA,NA
146,High,LetItGo,67,81,67,102.68393909624427,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,290 Shoreview Ave,1220475,361260.6000000001,859214.3999999999,37.6373162,-122.4926852,61023.75,2286444.1796964533,3145658.579696453,1220475
147,High,LetItGo,56,81,56,86.79118768417021,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,282 Shoreview Ave,1254041,371196.13600000006,882844.864,37.6373077,-122.4928672,62702.05,2142829.2359649907,3025674.0999649907,1254041
148,High,LetItGo,38,81,38,56.62553351849586,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,266 Shoreview Ave,1173416,347331.13600000006,826084.864,37.6373329,-122.4932076,58670.8,1582319.4073682877,2408404.2713682875,1173416
149,High,LetItGo,46,81,46,71.83796876908895,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,274 Shoreview Ave,1050000,310800,739200,37.637333,-122.4930342,52500,1600733.3934114298,2339933.3934114296,1050000
150,High,LetItGo,74,81,74,113.85051111896954,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,295 Shoreview Ave,1012402,299670.9920000001,712731.0079999999,37.6376724,-122.4925615,50620.100000000006,1985303.6046095248,2698034.6126095247,1012402
151,High,LetItGo,62,81,62,98.034649243973,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,285 Shoreview Ave,1042087,308457.7520000001,733629.2479999999,37.6376675,-122.4927406,52104.350000000006,1878866.8556187896,2612496.1036187895,1042087
152,High,LetItGo,52,81,52,82.64582916671955,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,275 SHOREVIEW Ave,1084013,320867.848,763145.152,37.6376753,-122.4929152,54200.65,1777122.723313493,2540267.875313493,1084013
153,High,LetItGo,45,81,45,70.93632867828902,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,265 SHOREVIEW Ave,1127991,333885.336,794105.664,37.6376717,-122.4930478,56399.55,1696496.3812770508,2490602.0452770507,1127991
154,High,LetItGo,35,81,35,52.226569633668504,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,255 Shoreview Ave,1155234,341949.2640000001,813284.7359999999,37.637667,-122.4932597,57761.700000000004,1472842.0052766376,2286126.7412766377,1155234
155,High,LetItGo,29,81,29,38.27399240695973,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,245 Shoreview Ave,1125000,333000,792000,37.6376739,-122.493418,56250,1253321.5699836544,2045321.5699836544,1125000
