"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE",NA,"Single Family Residential","6567 Del Playa Dr","Goleta","CA","93117",2131710,4,4,NA,2359,6534,2009,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6567-Del-Playa-Dr-93117/home/15040095",NA,NA,"Y","Y",34.409149,-119.857234,"6567 Del Playa Dr, Goleta, CA",106585.5,8882.125,8882.125,"baseline_5pct",15.3,29.241938177306,0.0292419381773059,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6569 Del Playa Dr","Goleta","CA","93117",2227123,4,4,NA,2311,6534,2009,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6569-Del-Playa-Dr-93117/home/28943282",NA,NA,"Y","Y",34.4093175,-119.857281,"6569 Del Playa Dr, Goleta, CA",111356.15,9279.67916666667,9279.67916666667,"baseline_5pct",14.92,51.621475519592,0.051621475519592,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","September-18-2007","Multi-Family (2-4 Unit)","6571 Del Playa Dr","Goleta","CA","93117",1350000,4,2,"Isla Vista",NA,19602,1935,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6571-Del-Playa-Dr-93117/home/21574307","SBMLS","07-3276","Y","Y",34.409171,-119.857412,"6571 Del Playa Dr, Goleta, CA",67500,5625,5625,"baseline_5pct",15.62,31.0127267207348,0.0310127267207348,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","March-3-2005","Single Family Residential","6581 Del Playa Dr","Goleta","CA","93117-5183",1355540,1,1,"Goleta",1070,1940,1999,NA,748,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6581-Del-Playa-Dr-93117/home/21574300","SBMLS","05-710","Y","Y",34.4093587,-119.8578364,"6581 Del Playa Dr, Goleta, CA",67777,5648.08333333333,5648.08333333333,"baseline_5pct",14.62,53.4503382982396,0.0534503382982396,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","April-2-1999","Single Family Residential","6583 Del Playa","Goleta","CA","93117",2006072,1,1,"SB/GOL SOUTH",NA,NA,1930,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6583-Del-Playa-Dr-93117/home/21522411","SBMLS","99-266","Y","Y",34.4093978,-119.8579026,"6583 Del Playa, Goleta, CA",100303.6,8358.63333333333,8358.63333333333,"baseline_5pct",14.52,58.2730970666236,0.0582730970666236,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6585 Del Playa Dr","Goleta","CA","93117",2053162,3,3,NA,2272,6970,2002,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6585-Del-Playa-Dr-93117/home/21522412",NA,NA,"Y","Y",34.4094368,-119.8579727,"6585 Del Playa Dr, Goleta, CA",102658.1,8554.84166666667,8554.84166666667,"baseline_5pct",14.43,63.0562670516197,0.0630562670516197,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6597 Del Playa Dr","Goleta","CA","93117",1537500,5,4,NA,2443,7405,1997,NA,629,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6597-Del-Playa-Dr-93117/home/21524325",NA,NA,"Y","Y",34.4093047,-119.8584297,"6597 Del Playa Dr, Goleta, CA",76875,6406.25,6406.25,"baseline_5pct",14.41,42.2033548854206,0.0422033548854206,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6599 Del Playa Dr","Goleta","CA","93117",2313923,5,4,NA,2443,7405,1997,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6599-Del-Playa-Dr-93117/home/21574301",NA,NA,"Y","Y",34.4094806,-119.8586259,"6599 Del Playa Dr, Goleta, CA",115696.15,9641.34583333333,9641.34583333333,"baseline_5pct",14.37,64.5802402987754,0.0645802402987754,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6607 Del Playa Dr","Goleta","CA","93117",2202360,4,3,NA,2496,13939,1989,NA,180,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6607-Del-Playa-Dr-93117/home/21574344",NA,NA,"Y","Y",34.4094266,-119.8590954,"6607 Del Playa Dr, Goleta, CA",110118,9176.5,9176.5,"baseline_5pct",14.18,54.1624763555021,0.0541624763555021,20.9,2753,306,702,1082,19167,139,292
"PAST SALE","October-30-2020","Multi-Family (2-4 Unit)","6637 Del Playa Dr","Goleta","CA","93117",1750000,8,4,"SB/GOL SOUTH",2895,12632,1973,NA,604,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6637-Del-Playa-Dr-93117/home/21574352","SBMLS","20-3226","Y","Y",34.409367,-119.860061,"6637 Del Playa Dr, Goleta, CA",87500,7291.66666666667,7291.66666666667,"baseline_5pct",14.45,39.6675336845431,0.0396675336845431,20.9,2753,306,702,1082,19167,139,292
"PAST SALE","March-25-2004","Multi-Family (2-4 Unit)","6641 Del Playa Dr","Goleta","CA","93117-5014",1200000,3,4,"Isla Vista",NA,NA,1994,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6641-Del-Playa-Dr-93117/home/21574342","SBMLS","04-147","Y","Y",34.4095316,-119.8602419,"6641 Del Playa Dr, Goleta, CA",60000,5000,5000,"baseline_5pct",14.05,60.6249771514064,0.0606249771514064,20.9,2753,306,702,1082,19167,139,292
"PAST SALE","March-14-2019","Multi-Family (2-4 Unit)","6643 Del Playa Dr","Goleta","CA","93117",1525000,5,4.5,"SB/GOL SOUTH",NA,2707,1995,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6643-Del-Playa-Dr-93117/home/21574343","SBMLS","17-2247","Y","Y",34.409518,-119.8603273,"6643 Del Playa Dr, Goleta, CA",76250,6354.16666666667,6354.16666666667,"baseline_5pct",14.02,58.2212392273112,0.0582212392273112,20.9,2753,306,702,1082,19167,139,292
"PAST SALE",NA,"Single Family Residential","6647 Del Playa Dr","Goleta","CA","93117",2595425,6,4,NA,2166,5663,1969,NA,129,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6647-Del-Playa-Dr-93117/home/21574353",NA,NA,"Y","Y",34.4093939,-119.8606651,"6647 Del Playa Dr, Goleta, CA",129771.25,10814.2708333333,10814.2708333333,"baseline_5pct",13.85,39.2442069808775,0.0392442069808775,20.9,2753,306,702,1082,19167,139,292
"PAST SALE","September-20-1994","Multi-Family (2-4 Unit)","6665 Del Playa","Goleta","CA","93117",1925919,11,NA,"SB/GOL SOUTH",2,NA,1963,NA,85000,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6665-Del-Playa-Dr-93117/home/21574355","SBMLS","94-2015","Y","Y",34.4095327,-119.8614173,"6665 Del Playa, Goleta, CA",96295.95,8024.6625,8024.6625,"baseline_5pct",13.35,52.9001337649112,0.0529001337649112,20.9,2753,306,702,1082,19167,139,292
"PAST SALE",NA,"Single Family Residential","6707 Del Playa Dr","Goleta","CA","93117",1430966,1,1,NA,1017,5663,1967,NA,305,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6707-Del-Playa-Dr-93117/home/21574462",NA,NA,"Y","Y",34.4096071,-119.862909,"6707 Del Playa Dr, Goleta, CA",71548.3,5962.35833333333,5962.35833333333,"baseline_5pct",8.24,52.9290866194469,0.0529290866194469,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6705 Del Playa Dr","Goleta","CA","93117",1129436,1,1,NA,1016,5663,1967,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6705-Del-Playa-Dr-93117/home/21574459",NA,NA,"Y","Y",34.4095721,-119.8628186,"6705 Del Playa Dr, Goleta, CA",56471.8,4705.98333333333,4705.98333333333,"baseline_5pct",8.15,48.8206186877414,0.0488206186877414,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6701 Del Playa Dr","Goleta","CA","93117",1759545,4,4,NA,1736,5227,1962,NA,291,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6701-Del-Playa-Dr-93117/home/21574463",NA,NA,"Y","Y",34.4095765,-119.8627282,"6701 Del Playa Dr, Goleta, CA",87977.25,7331.4375,7331.4375,"baseline_5pct",8.21,50.0187453142444,0.0500187453142444,21.3,2436,77,457,470,33325,111,348
"PAST SALE",NA,"Single Family Residential","6709 Del Playa Dr Unit A","Goleta","CA","93117",1447825,5,4,NA,1840,5663,1967,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6709-Del-Playa-Dr-93117/unit-A/home/21574461",NA,NA,"Y","Y",34.4095792,-119.8630646,"6709 Del Playa Dr Unit A, Goleta, CA",72391.25,6032.60416666667,6032.60416666667,"baseline_5pct",8.16,48.1291399419004,0.0481291399419004,21.3,2436,77,457,470,33325,111,348
