SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
RENTAL,,Single Family Residential,6741 Del Playa Dr,Goleta,CA,93117,19000,7,3.0,,,6534,1967,,,,,,,https://www.redfin.com/CA/Goleta/6741-Del-Playa-Dr-93117/home/21574454,,,Y,Y,34.4094316,-119.8643902
PAST SALE,,Single Family Residential,6743 Del Playa Dr,Goleta,CA,93117,,7,4.0,,2152,6534,1967,,,,,,,https://www.redfin.com/CA/Goleta/6743-Del-Playa-Dr-93117/home/21574455,,,Y,Y,34.409356,-119.864426
PAST SALE,September-12-2008,Single Family Residential,6769 Del Playa Dr,Goleta,CA,93117,955000,2,2.0,Goleta,1132,6969,2007,,844,,Sold,,,https://www.redfin.com/CA/Goleta/6769-Del-Playa-Dr-93117/home/21574464,SBMLS,08-900,Y,Y,34.4095002,-119.8653726
RENTAL,,Single Family Residential,6773 Del Playa Dr,Goleta,CA,93117,17000,4,3.0,Goleta,,6969,,,,,,,,https://www.redfin.com/CA/Goleta/6773-Del-Playa-Dr-93117/home/21574465,,,Y,Y,34.409493,-119.8655872
PAST SALE,,Single Family Residential,6823 Del Playa Dr,Goleta,CA,93117,138000,3,2.0,,1494,5663,1967,,92,,,,,https://www.redfin.com/CA/Goleta/6823-Del-Playa-Dr-93117/home/21574492,,,Y,Y,34.4094728,-119.8673071
PAST SALE,,Single Family Residential,6827 Del Playa Dr,Goleta,CA,93117,385000,3,2.0,,1344,5663,1973,,286,,,,,https://www.redfin.com/CA/Goleta/6827-Del-Playa-Dr-93117/home/21574493,,,Y,Y,34.4094892,-119.8674406
PAST SALE,,Single Family Residential,6851 Del Playa Dr,Goleta,CA,93117,,3,5.0,,2181,5663,2015,,,,,,,https://www.redfin.com/CA/Goleta/6851-Del-Playa-Dr-93117/home/95965599,,,Y,Y,34.4096903,-119.8681638
PAST SALE,,Single Family Residential,6855 Del Playa Dr,Goleta,CA,93117,,2,4.0,,1704,5663,2015,,,,,,,https://www.redfin.com/CA/Goleta/6855-Del-Playa-Dr-93117/home/95965598,,,Y,Y,34.409541,-119.86825
PAST SALE,September-9-1999,Single Family Residential,6865 Del Playa,Goleta,CA,93117,485000,3,2.0,SB/GOL SOUTH,1465,,1959,,331,,Sold,,,https://www.redfin.com/CA/Goleta/6865-Del-Playa-Dr-93117/home/21574494,SBMLS,99-1650,Y,Y,34.4095028,-119.8686006
PAST SALE,,Single Family Residential,6877 Del Playa Dr,Goleta,CA,93117,,2,2.0,,1888,9583,1970,,,,,,,https://www.redfin.com/CA/Goleta/6877-Del-Playa-Dr-93117/home/21575421,,,Y,Y,34.4095037,-119.8689513
PAST SALE,May-26-2011,Single Family Residential,6881 Del Playa Dr,Goleta,CA,93117,895000,3,2.0,Isla Vista,1202,5662,1957,,745,,Sold,,,https://www.redfin.com/CA/Goleta/6881-Del-Playa-Dr-93117/home/21574495,SBMLS,11-1449,Y,Y,34.409594,-119.869113
PAST SALE,,Single Family Residential,6885 Del Playa Dr,Goleta,CA,93117,350000,2,3.0,,1948,5227,1967,,180,,,,,https://www.redfin.com/CA/Goleta/6885-Del-Playa-Dr-93117/home/21574490,,,Y,Y,34.4095563,-119.8693519
