SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,NA,Single Family Residential,235 Shoreview Ave,Pacifica,CA,94044,1149508,3,1,NA,1050,5742,1953,NA,214,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/235-Shoreview-Ave-94044/home/2040119,NA,NA,Y,Y,37.6376671,-122.4936029,"235 Shoreview Ave, Pacifica, CA",57475.4,4789.616666666667,4789.616666666667,baseline_5pct,10.57,224.35399504286735,0.22435399504286735,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,December-1-2016,Single Family Residential,180 Surf St,Pacifica,CA,94044,868300,3,1,West Sharp Park,1050,5000,1954,NA,827,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/180-Surf-St-94044/home/1672008,San Francisco MLS,453788,Y,Y,37.6380143,-122.4927825,"180 Surf St, Pacifica, CA",43415,3617.9166666666665,3617.9166666666665,baseline_5pct,12.14,314.4199908897424,0.3144199908897424,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,February-10-2016,Single Family Residential,166 surf,Pacifica,CA,94044,840500,3,1,PACIFICA,1050,5000,1954,NA,800,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/166-Surf-St-94044/home/584230,MLSListings,ML81546574,Y,Y,37.6380186,-122.4929581,"166 surf, Pacifica, CA",42025,3502.0833333333335,3502.0833333333335,baseline_5pct,11.87,294.8632599321822,0.2948632599321822,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,136 Surf St,Pacifica,CA,94044,1105789,3,2,NA,1136,5000,1954,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/136-Surf-St-94044/home/1095448,NA,NA,Y,Y,37.6380254,-122.493291,"136 Surf St, Pacifica, CA",55289.450000000004,4607.454166666667,4607.454166666667,baseline_5pct,11.51,257.7926804074135,0.2577926804074135,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,120 Surf St,Pacifica,CA,94044,1112242,3,1,NA,1050,5000,1954,NA,214,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/120-Surf-St-94044/home/2050006,NA,NA,Y,Y,37.6380192,-122.4934749,"120 Surf St, Pacifica, CA",55612.100000000006,4634.341666666667,4634.341666666667,baseline_5pct,11.22,237.3495330730658,0.2373495330730658,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,September-21-1997,Single Family Residential,104 Surf,Pacifica,CA,94044,1233566,3,1,West Sharp Park,1110,5000,1953,NA,217,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/104-Surf-St-94044/home/1900740,San Francisco MLS,24167,Y,Y,37.6380137,-122.4936508,"104 Surf, Pacifica, CA",61678.3,5139.858333333334,5139.858333333334,baseline_5pct,10.86,217.794175410595,0.21779417541059498,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,195195 Surf St Unit 195A,Pacifica,CA,94044,1069011,3,1,NA,1050,5655,1954,NA,364,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/195195-Surf-St-94044/unit-195A/home/1129646,NA,NA,Y,Y,37.638409,-122.492612,"195195 Surf St Unit 195A, Pacifica, CA",53450.55,4454.2125000000005,4454.2125000000005,baseline_5pct,12.29,331.99400146953263,0.3319940014695326,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,January-3-2001,Single Family Residential,195 SURF St,Pacifica,CA,94044,1054001,3,1,Pacifica,1050,4500,NA,NA,364,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/195-Surf-St-94044/home/179378765,MLSListings,ML80041763,Y,Y,37.6383544,-122.492649,"195 SURF St, Pacifica, CA",52700.05,4391.670833333334,4391.670833333334,baseline_5pct,12.27,328.0701470174449,0.3280701470174449,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,185 Surf St,Pacifica,CA,94044,1121048,3,2,NA,1116,5000,1954,NA,118,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/185-Surf-St-94044/home/1923301,NA,NA,Y,Y,37.6383524,-122.4928186,"185 Surf St, Pacifica, CA",56052.4,4671.033333333334,4671.033333333334,baseline_5pct,12.11,309.20346517020454,0.30920346517020453,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,NA,Single Family Residential,165 Surf St,Pacifica,CA,94044,1065910,3,1,NA,1050,5000,1954,NA,37,NA,NA,NA,NA,https://www.redfin.com/CA/Pacifica/165-Surf-St-94044/home/1997896,NA,NA,Y,Y,37.6383689,-122.4929864,"165 Surf St, Pacifica, CA",53295.5,4441.291666666667,4441.291666666667,baseline_5pct,11.9,290.4714787540538,0.2904714787540538,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
