SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Multi-Family (2-4 Unit),8 Salada Ave,Pacifica,CA,94044,26000,2,2.0,,1070,2250,1947,,24,,,,,https://www.redfin.com/CA/Pacifica/8-Salada-Ave-94044/home/2059626,,,Y,Y,37.6344578,-122.4937773
PAST SALE,,Single Family Residential,37 San Jose Ave,Pacifica,CA,94044,213000,3,2.0,,1690,3375,1956,,126,,,,,https://www.redfin.com/CA/Pacifica/37-San-Jose-Ave-94044/home/1130355,,,Y,Y,37.6341842,-122.4933573
PAST SALE,,Multi-Family (2-4 Unit),25 San Jose Ave,Pacifica,CA,94044,350000,4,3.0,,2676,3375,1961,,131,,,,,https://www.redfin.com/CA/Pacifica/25-San-Jose-Ave-94044/home/619815,,,Y,Y,37.6342002,-122.4935077
PAST SALE,June-29-2000,Single Family Residential,19 SAN JOSE Ave,Pacifica,CA,94044,488888,3,1.5,SALADA BEACH,990,5000,1960,,494,,Sold,,,https://www.redfin.com/CA/Pacifica/19-San-Jose-Ave-94044/home/1502543,MLSListings,ML80019858,Y,Y,37.6341889,-122.4936447
PAST SALE,May-20-2021,Single Family Residential,15 San Jose Ave,Pacifica,CA,94044,1310000,2,2.5,PACIFICA,1170,2250,1991,,1120,,Sold,,,https://www.redfin.com/CA/Pacifica/15-San-Jose-Ave-94044/home/1303393,MLSListings,ML81833930,Y,Y,37.6342038,-122.493787
PAST SALE,May-9-2022,Single Family Residential,1987 Beach Blvd,Pacifica,CA,94044,1850000,3,3.0,PACIFICA,1620,2700,1996,,1142,,Sold,,,https://www.redfin.com/CA/Pacifica/1987-Beach-Blvd-94044/home/1681830,MLSListings,ML81872694,Y,Y,37.6341858,-122.4939881
PAST SALE,March-31-2017,Single Family Residential,1985 Beach Blvd,Pacifica,CA,94044,1250000,3,3.0,PACIFICA,1770,1197,1989,,706,,Sold,,,https://www.redfin.com/CA/Pacifica/1985-Beach-Blvd-94044/home/619826,MLSListings,ML81625916,Y,Y,37.6342615,-122.4939987
PAST SALE,June-5-2018,Single Family Residential,1983 Beach Blvd,Pacifica,CA,94044,1600000,3,3.0,PACIFICA,1770,1200,1989,,904,,Sold,,,https://www.redfin.com/CA/Pacifica/1983-Beach-Blvd-94044/home/618638,MLSListings,ML81703647,Y,Y,37.634314,-122.493984
PAST SALE,March-22-2018,Single Family Residential,1981 Beach Blvd,Pacifica,CA,94044,1012900,1,1.0,PACIFICA,740,2500,1956,,1369,,Sold,,,https://www.redfin.com/CA/Pacifica/1981-Beach-Blvd-94044/home/1066843,MLSListings,ML81691356,Y,Y,37.6343962,-122.4940191
PAST SALE,,Multi-Family (2-4 Unit),4 Salada Ave,Pacifica,CA,94044,195000,2,2.0,,2200,2750,1958,,89,,,,,https://www.redfin.com/CA/Pacifica/4-Salada-Ave-94044/home/1978197,,,Y,Y,37.63453,-122.493984
PAST SALE,June-18-1999,Single Family Residential,61 SALADA Ave,Pacifica,CA,94044,381000,3,2.0,WEST SHARP PARK,1410,5010,,,270,,Sold,,,https://www.redfin.com/CA/Pacifica/61-Salada-Ave-94044/home/1272833,MLSListings,ML89911421,Y,Y,37.6348408,-122.4929659
PAST SALE,,Multi-Family (2-4 Unit),50 Santa Maria Ave,Pacifica,CA,94044,570000,4,2.0,,1955,5055,1959,,292,,,,,https://www.redfin.com/CA/Pacifica/50-Santa-Maria-Ave-94044/home/1264750,,,Y,Y,37.635083,-122.493094
PAST SALE,,Single Family Residential,51 Salada Ave,Pacifica,CA,94044,245000,3,2.0,,1190,4500,1930,,206,,,,,https://www.redfin.com/CA/Pacifica/51-Salada-Ave-94044/home/619746,,,Y,Y,37.6348242,-122.4931386
PAST SALE,July-8-2010,Single Family Residential,37 SALADA Ave,Pacifica,CA,94044,425000,3,2.5,Pacifica,2092,4500,1947,,203,,Sold,,,https://www.redfin.com/CA/Pacifica/37-Salada-Ave-94044/home/1972390,MLSListings,ML81005876,Y,Y,37.6348197,-122.493291
PAST SALE,July-23-2010,Single Family Residential,40 SANTA MARIA Ave,Pacifica,CA,94044,425000,1,1.0,Pacifica,580,3420,1948,,733,,Sold,,,https://www.redfin.com/CA/Pacifica/40-Santa-Maria-Ave-94044/home/1860702,MLSListings,ML81015937,Y,Y,37.6350926,-122.4932529
PAST SALE,May-21-2012,Multi-Family (2-4 Unit),30 SANTA MARIA Ave,Pacifica,CA,94044,700000,5,3.0,Pacifica,3294,4440,1961,,213,,Sold,,,https://www.redfin.com/CA/Pacifica/30-Santa-Maria-Ave-94044/home/1355734,MLSListings,ML81207320,Y,Y,37.6351135,-122.4934165
PAST SALE,April-24-2007,Single Family Residential,8 SANTA MARIA Ave,Pacifica,CA,94044,590000,3,1.5,W. SHARP PARK,960,1,1913,,615,,Sold,,,https://www.redfin.com/CA/Pacifica/8-Santa-Maria-Ave-94044/home/1982570,MLSListings,ML80711986,Y,Y,37.6350848,-122.4937746
PAST SALE,May-6-2015,Multi-Family (2-4 Unit),9 Salada Ave,Pacifica,CA,94044,1230000,6,3.0,PACIFICA,3081,3510,1960,,399,,Sold,,,https://www.redfin.com/CA/Pacifica/9-Salada-Ave-94044/home/1130348,MLSListings,ML81456130,Y,Y,37.63483,-122.4936598
PAST SALE,,Single Family Residential,5 Salada Ave,Pacifica,CA,94044,648000,2,1.0,,810,2700,1948,,800,,,,,https://www.redfin.com/CA/Pacifica/5-Salada-Ave-94044/home/618609,,,Y,Y,37.6347936,-122.4937994
PAST SALE,June-17-2020,Single Family Residential,1 Salada Ave,Pacifica,CA,94044,1255000,3,1.5,PACIFICA,1230,5200,1950,,1020,,Sold,,,https://www.redfin.com/CA/Pacifica/1-Salada-Ave-94044/home/1605250,MLSListings,ML81791138,Y,Y,37.6347831,-122.4940166
PAST SALE,,Single Family Residential,1815 Beach Blvd,Pacifica,CA,94044,40000,2,2.5,,1680,4200,1989,,24,,,,,https://www.redfin.com/CA/Pacifica/1815-Beach-Blvd-94044/home/1840791,,,Y,Y,37.634913,-122.49399
PAST SALE,,Multi-Family (2-4 Unit),2 Santa Maria Ave,Pacifica,CA,94044,,5,5.0,,3760,8550,1947,,,,,,,https://www.redfin.com/CA/Pacifica/2-Santa-Maria-Ave-94044/home/1421228,,,Y,Y,37.6350933,-122.493989
PAST SALE,August-13-2004,Single Family Residential,44 CARMEL,Pacifica,CA,94044,560000,4,2.0,Pacifica,2160,1,1938,,259,,Sold,,,https://www.redfin.com/CA/Pacifica/44-Carmel-Ave-94044/home/1798107,MLSListings,ML80405630,Y,Y,37.6357385,-122.4932011
PAST SALE,,Single Family Residential,59 Santa Maria Ave,Pacifica,CA,94044,121000,2,1.0,,630,4500,1952,,192,,,,,https://www.redfin.com/CA/Pacifica/59-Santa-Maria-Ave-94044/home/1120082,,,Y,Y,37.6354261,-122.4929363
PAST SALE,January-5-2017,Single Family Residential,47 Santa Maria Ave,Pacifica,CA,94044,725000,1,1.0,PACIFICA,480,4499,1945,,1510,,Sold,,,https://www.redfin.com/CA/Pacifica/47-Santa-Maria-Ave-94044/home/618513,MLSListings,ML81626615,Y,Y,37.6354119,-122.4931528
PAST SALE,,Multi-Family (2-4 Unit),35 Santa Maria Ave,Pacifica,CA,94044,700000,2,2.0,,1940,4665,1959,,361,,,,,https://www.redfin.com/CA/Pacifica/35-Santa-Maria-Ave-94044/home/1579668,,,Y,Y,37.6354715,-122.4933225
PAST SALE,,Single Family Residential,25 Santa Maria Ave,Pacifica,CA,94044,51000,2,1.0,,860,4500,1956,,59,,,,,https://www.redfin.com/CA/Pacifica/25-Santa-Maria-Ave-94044/home/618520,,,Y,Y,37.6354481,-122.4934899
PAST SALE,February-12-2015,Single Family Residential,8 Carmel,Pacifica,CA,94044,600000,1,1.0,PACIFICA,460,4950,1942,,1304,,Sold,,,https://www.redfin.com/CA/Pacifica/8-Carmel-Ave-94044/home/1842683,MLSListings,ML81447625,Y,Y,37.635621,-122.4937033
PAST SALE,March-9-2005,Single Family Residential,1785 BEACH BOULEVARD Ave #30,Pacifica,CA,94044,1340000,4,4.0,Pacifica,3400,4500,,,394,,Sold,,,https://www.redfin.com/CA/Pacifica/1785-Beach-Blvd-94044/unit-30/home/113814582,MLSListings,ML80500180,Y,Y,37.6354339,-122.4940145
PAST SALE,,Multi-Family (2-4 Unit),1781 Beach Blvd,Pacifica,CA,94044,,6,6.0,,4840,6375,2012,,,,,,,https://www.redfin.com/CA/Pacifica/1781-Beach-Blvd-94044/home/44621375,,,Y,Y,37.635589,-122.493985
