parcel_id,property_id,n_scenarios,pct_flooded,mean_depth_m,max_depth_m,mean_duration_hr,flooded_any,flooded_all
94,5a3be30199394130a88d0b5148f0f24c,10,0.7,108.42857142857143,376,18.859228951590403,TRUE,FALSE
95,1481d2cba83d67f62612ec6043fe47b3,10,0.7,104.71428571428571,371,18.974123818533762,TRUE,FALSE
96,b462f58e761e5f3c9c9e5a5d781e505a,10,0.6,116.66666666666667,380,20.34943373998006,TRUE,FALSE
97,745d257d4efd4cd1ba102a4b538c67e8,10,0.5,118.2,368,23.024806213378906,TRUE,FALSE
98,15a54683d8a643d8f5cc47a2d8c7e936,10,0.9,109.22222222222223,446,15.290453884336683,TRUE,FALSE
99,56520faaa42881bdc6a324b7a5e2502f,10,1,112.1,460,14.194724917411804,TRUE,TRUE
100,64b9b5ab991ea7e2fa4cb5096fcd813c,10,0.5,146,350,23.492068481445312,TRUE,FALSE
101,7154de47f0001ba146ad1ae5a62ee863,10,1,148.7,454,14.452437591552734,TRUE,TRUE
102,0d7b8f794fa3082a7c03026dec856247,10,1,148.7,454,14.452437591552734,TRUE,TRUE
103,6e0abbe95021795de4e36b121e68a5da,10,0.9,104.77777777777777,434,14.635649919509888,TRUE,FALSE
104,d2b603896c62fe2a05a5fd2b2856fc67,10,0.7,127.14285714285714,418,18.435836826051982,TRUE,FALSE
105,ae410f3f37648dc35b771f5aab1e56d4,10,1,149,477,13.320469975471497,TRUE,TRUE
106,73954a6c37f948edfa2617a91452cf8d,10,1,126.1,438,13.790367078781127,TRUE,TRUE
107,1ff31dc4768a9158d9473f7ded2e923a,10,0.8,113.125,411,16.114792943000793,TRUE,FALSE
108,a084010d87e39dd79f2dabdd6931549a,10,1,116.5,430,13.914157485961914,TRUE,TRUE
109,330d0a0121adcdb385166b1fa14e3cec,10,1,106.2,407,14.198106336593627,TRUE,TRUE
110,104937a524980ecc2f672d7a542309ce,10,1,116.9,372,14.919540500640869,TRUE,TRUE
