parcel_id,property_id,n_scenarios,pct_flooded,mean_depth_m,max_depth_m,mean_duration_hr,flooded_any,flooded_all,100-yr
62,74df5ff97da3e03e91c0f35f77505d09,6,1,1.33,3.97,19.483896096547443,TRUE,TRUE,1
63,981e181177c7d813a55294a9033caae4,1,1,2.71,2.71,24.337814331054688,TRUE,TRUE,5
64,8add8b2920677fb05a470dc45d0382e9,5,0.8,1.178,3.67,20.848374938964845,TRUE,FALSE,1.5
65,ebba21509473070bc68ac3bdc57e2b2f,6,0.8333333333333334,1.29,4.28,18.429672241210938,TRUE,FALSE,1.25
66,91d61e1e74d514343173298aaad46962,5,0.8,1.3499999999999999,4.09,22.04345817565918,TRUE,FALSE,1.5
67,13d20e9c7a4c67ce669c866c9c0c0b65,6,0.8333333333333334,1.3083333333333333,4.27,19.66048566500346,TRUE,FALSE,1.25
68,5dcd72919d0d813104e7c51b3d4f6aec,7,1,1.5728571428571427,4.76,17.504745892116002,TRUE,TRUE,0.75
69,b3adec5d5bea4d9c3fa1e3464bbafa91,6,1,1.2416666666666667,3.94,19.405912558237713,TRUE,TRUE,1
70,55516a1c7d482174944565881a6c4c1d,5,1,1.3719999999999999,4.09,21.07927703857422,TRUE,TRUE,1.25
72,bb62c410dccc363d06e5ca7d03ee9451,2,0.5,1.01,1.96,23.326626777648926,TRUE,FALSE,5
73,e6c0dd8d88b208dacf2980e5cfbe47d0,5,0.8,1.248,3.84,20.829275131225586,TRUE,FALSE,1.5
74,6a163b810b84db5cf15faaaff015d72f,3,1,1.53,3.58,22.968173344930012,TRUE,TRUE,1.75
75,4ebd4dadd1ac24187bb48c91600c5bf7,4,1,1.3775,3.69,21.912562370300293,TRUE,TRUE,1.5
76,16e7c6a3126e8054624d86ca0fffa966,9,1,0.8122222222222222,2.33,18.299207899305554,TRUE,TRUE,0.25
77,4ca0c29f2b81ba4765ed75f5ea1f4463,10,1,1.26,2.81,18.17351360321045,TRUE,TRUE,0
78,dc7c86b51337c35a8f90e477f53f3340,5,1,1.256,3.65,21.072474670410156,TRUE,TRUE,1.25
79,970676448c402953014406951d3772fd,6,0.8333333333333334,1.2683333333333333,4.16,19.02986717224121,TRUE,FALSE,1.25
80,d6e5eca5b6ca3a0f7832eb2769464302,6,0.8333333333333334,1.355,4.37,19.000227212905884,TRUE,FALSE,1.25
81,1e63e1365446d4a9a3a49fb69ae6a743,9,0.8888888888888888,1.301111111111111,4.87,14.38896041446262,TRUE,FALSE,0.5
82,ec9891763c8b3865fe1cb0aef7d8808e,8,1,1.325,4.55,16.216906130313873,TRUE,TRUE,0.5
83,e313959d66f6c9b225346c79eefd5ead,10,0.8,1.238,4.9,16.462351942062377,TRUE,FALSE,0.5
84,f27c616eef80f4e7d72585d89e30b7f6,5,1,1.272,3.67,20.953173065185545,TRUE,TRUE,1.25
85,2bfdf7374c8c4bbaa7181efe98a8e25f,5,0.8,1.234,3.98,21.135816192626955,TRUE,FALSE,1.5
86,8022d66317e1343f3527973ecbf15c0c,1,1,1.27,1.27,24.48905372619629,TRUE,TRUE,5
87,4dd909bd9cfd2082caf5632ec353b78a,1,1,1.01,1.01,24.497285842895508,TRUE,TRUE,5
88,d9d79ded405b9e361d65292878106ee2,5,1,1.354,3.97,21.200477600097656,TRUE,TRUE,1.25
89,b60fd96b598ea779713dadd50eec1981,7,0.8571428571428571,1.23,4.2,17.26843248094831,TRUE,FALSE,1
90,4e1c06780290656a45fae01576405545,3,1,1.2966666666666666,3.17,23.127310434977215,TRUE,TRUE,1.75
91,36a89c7d09161752ab705b07e2ddbe73,5,1,1.222,3.69,21.33520927429199,TRUE,TRUE,1.25
92,ccab8a9f7186262864c1dab64f6ca380,2,0.5,1.3800000000000001,2.64,23.45607852935791,TRUE,FALSE,5
93,bbf6fc2a9aec00a3780ed5c5d4db6759,8,0.75,1.03125,3.91,17.256214797496796,TRUE,FALSE,1
94,5a3be30199394130a88d0b5148f0f24c,7,0.8571428571428571,1.0842857142857143,3.76,18.859228951590403,TRUE,FALSE,1
95,1481d2cba83d67f62612ec6043fe47b3,7,0.8571428571428571,1.0471428571428572,3.71,18.974123818533762,TRUE,FALSE,1
96,b462f58e761e5f3c9c9e5a5d781e505a,6,0.8333333333333334,1.1666666666666667,3.8,20.34943373998006,TRUE,FALSE,1.25
97,745d257d4efd4cd1ba102a4b538c67e8,5,0.8,1.182,3.68,23.024806213378906,TRUE,FALSE,1.5
98,15a54683d8a643d8f5cc47a2d8c7e936,9,0.7777777777777778,1.0922222222222222,4.46,15.290453884336683,TRUE,FALSE,0
99,56520faaa42881bdc6a324b7a5e2502f,10,0.9,1.121,4.6,14.194724917411804,TRUE,FALSE,0
100,64b9b5ab991ea7e2fa4cb5096fcd813c,5,1,1.46,3.5,23.492068481445312,TRUE,TRUE,1.25
101,7154de47f0001ba146ad1ae5a62ee863,10,1,1.487,4.54,14.452437591552734,TRUE,TRUE,0
102,0d7b8f794fa3082a7c03026dec856247,10,1,1.487,4.54,14.452437591552734,TRUE,TRUE,0
103,6e0abbe95021795de4e36b121e68a5da,9,0.7777777777777778,1.0477777777777777,4.34,14.635649919509888,TRUE,FALSE,0
104,d2b603896c62fe2a05a5fd2b2856fc67,7,0.8571428571428571,1.2714285714285714,4.18,18.435836826051982,TRUE,FALSE,0
105,ae410f3f37648dc35b771f5aab1e56d4,10,1,1.49,4.77,13.320469975471497,TRUE,TRUE,0
106,73954a6c37f948edfa2617a91452cf8d,10,1,1.261,4.38,13.790367078781127,TRUE,TRUE,0
107,1ff31dc4768a9158d9473f7ded2e923a,8,0.875,1.13125,4.11,16.114792943000793,TRUE,FALSE,0
108,a084010d87e39dd79f2dabdd6931549a,10,1,1.165,4.3,13.914157485961914,TRUE,TRUE,0
109,330d0a0121adcdb385166b1fa14e3cec,10,0.9,1.062,4.07,14.198106336593627,TRUE,FALSE,0
110,104937a524980ecc2f672d7a542309ce,10,0.9,1.169,3.72,14.919540500640869,TRUE,FALSE,0.25
