parcel_id,slr_m,storm,depth_m,depth_m_w100,duration_hr,duration_hr_w100,wave_ht_m,wave_ht_m_w100,flooded,runup_dist_m,runup_exposed,runup_dist_m_w100,runup_exposed_w100,in_squeeze_zone,cliff_dist_m,cliff_exposed
19,1.75,w000,0.7607984924316407,1.3,24.152292251586914,24.850000381469727,0.2115345448255539,0.6593132019042969,TRUE,NA,NA,NA,NA,FALSE,1674.0710011399437,FALSE
19,2,w000,0.7398665618896484,1.53,24.152292251586914,24.850000381469727,0.2115144580602646,0.6593132019042969,TRUE,87.77017450722975,FALSE,934.9322796972556,FALSE,FALSE,1674.0710011399437,FALSE
19,5,w000,3.156086120605469,3.51,24.485912322998047,24.512849807739258,0.4631100296974182,2.220777988433838,TRUE,933.8750073451479,FALSE,935.8915585189759,FALSE,FALSE,1674.0710011399437,FALSE
20,0,w000,0,0.13,0,4.465486526489258,0,0.00546693941578269,FALSE,115.4756420281507,FALSE,113.01275418899391,FALSE,NA,1345.3318095569455,FALSE
20,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
20,0.5,w000,0,0,0,0,0,0,FALSE,73.48302716018965,FALSE,114.08511620702434,FALSE,FALSE,1345.3318095569455,FALSE
20,0.75,w000,0,0.07,0,5.91995906829834,0,0.054980017244815826,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
20,1,w000,0,0.18,0,5.91995906829834,0,0.054980017244815826,FALSE,31.715456333443438,TRUE,192.11187272381088,FALSE,FALSE,1345.3318095569455,FALSE
20,1.25,w000,0.08994142532348633,0.66,14.571115493774414,20.80668067932129,0.03137650713324547,0.06975175440311432,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
20,1.5,w000,0.33994140625,1.14,14.571115493774414,20.80668067932129,0.03136831521987915,0.06975175440311432,TRUE,287.606525950749,FALSE,287.606525950749,FALSE,FALSE,1345.3318095569455,FALSE
20,1.75,w000,0,1.19,0,24.734148025512695,0,0.11682069301605225,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
20,2,w000,0,1.5,0,24.734148025512695,0,0.11682069301605225,FALSE,114.07516982358352,FALSE,1033.0426726636067,FALSE,FALSE,1345.3318095569455,FALSE
20,5,w000,3.76994140625,4.1,24.15317153930664,24.16423225402832,0.45821210741996765,1.7895972728729248,TRUE,1032.1012448281588,FALSE,1033.8851812570358,FALSE,FALSE,1345.3318095569455,FALSE
21,0,w000,0,0.04,0,4.141206741333008,0,0.0051124789752066135,FALSE,122.63730668270502,FALSE,98.14661329530836,FALSE,NA,1362.728284073332,FALSE
21,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1362.728284073332,FALSE
21,0.5,w000,0,0,0,0,0,0,FALSE,80.92697585836768,FALSE,96.02394375427583,FALSE,FALSE,1362.728284073332,FALSE
21,0.75,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1362.728284073332,FALSE
21,1,w000,0,0.07,0,5.617352485656738,0,0.05141527205705643,FALSE,40.02920617923811,TRUE,197.24064308951026,FALSE,FALSE,1362.728284073332,FALSE
21,1.25,w000,0,0.55,0,20.549270629882812,0,0.06128976121544838,FALSE,NA,NA,NA,NA,FALSE,1362.728284073332,FALSE
21,1.5,w000,0.22385065078735353,1.05,14.577803611755371,20.549270629882812,0.02256121300160885,0.06128976121544838,TRUE,288.94381406319525,FALSE,288.94381406319525,FALSE,FALSE,1362.728284073332,FALSE
21,1.75,w000,0,1.08,0,24.746355056762695,0,0.09185071289539337,FALSE,NA,NA,NA,NA,FALSE,1362.728284073332,FALSE
21,2,w000,0,1.38,0,24.746355056762695,0,0.09185071289539337,FALSE,96.01891518174466,FALSE,1017.1711144040629,FALSE,FALSE,1362.728284073332,FALSE
21,5,w000,3.6638507080078124,3.99,24.147714614868164,24.158912658691406,0.45976823568344116,1.7850728034973145,TRUE,1016.2249018950323,FALSE,1018.0182872713024,FALSE,FALSE,1362.728284073332,FALSE
