parcel_id,slr_m,depth_m
19,2,0.6298665618896484
19,5,3.2460861206054688
20,0,0
20,0.25,0
20,0.5,0
20,0.75,0
20,1,0
20,1.25,0
20,1.5,0.15
20,1.75,0.08994142532348633
20,2,0.08
20,5,3.85
21,0,0
21,0.25,0
21,0.5,0
21,0.75,0
21,1,0
21,1.25,0
21,1.5,0.04424474716186524
21,1.75,0
21,2,0
21,5,3.7442446899414064
22,0,0
22,0.25,0
22,0.5,0
22,0.75,0
22,1,0
22,1.25,0
22,1.5,0.15
22,1.75,0.08994142532348633
22,2,0.08
22,5,3.85
23,0,0
23,0.25,0
23,0.5,0
23,0.75,0.16539382934570312
23,1,0.2169082260131836
23,1.25,0.5253938293457031
23,1.5,0.7895337677001953
23,1.75,0.6753938293457031
23,2,0.5960207748413086
23,5,3.470322570800781
24,0,0
24,0.25,0
24,0.5,0
24,0.75,0
24,1,0
24,1.25,0
24,1.5,0.15
24,1.75,0.08994142532348633
24,2,0.08
24,5,3.85
25,0,0
25,0.25,0
25,0.5,0
25,0.75,0
25,1,0
25,1.25,0
25,1.5,0.03112402677536011
25,1.75,0
25,2,0
25,5,3.511495361328125
26,0,0
26,0.25,0
26,0.5,0
26,0.75,0
26,1,0
26,1.25,0
26,1.5,0.10613581657409668
26,1.75,0
26,2,0
26,5,3.5587774658203126
27,0,0
27,0.25,0
27,0.5,0
27,0.75,0
27,1,0
27,1.25,0
27,1.5,0
27,1.75,0
27,2,0
27,5,1.7662347412109376
28,0,0
28,0.25,0
28,0.5,0
28,0.75,0
28,1,0
28,1.25,0
28,1.5,0.15
28,1.75,0.08994142532348633
28,2,0.08
28,5,3.85
29,0,0
29,0.25,0
29,0.5,0
29,0.75,0
29,1,0.931658706665039
29,1.25,1.2908828735351563
29,1.5,1.6320458984375
29,1.75,1.4032090759277345
29,2,1.3596488952636718
29,5,4.66732421875
30,0,0
30,0.25,0
30,0.5,0
30,0.75,0
30,1,0
30,1.25,0.29583696365356443
30,1.5,0.7230274200439453
30,1.75,1.005836944580078
30,2,1.2912077331542968
30,5,4.124467468261718
31,0,0
31,0.25,0
31,0.5,0
31,0.75,0
31,1,0
31,1.25,0
31,1.5,0.27697229385375977
31,1.75,0.22697229385375978
31,2,0.21361904144287108
31,5,3.442666320800781
32,0,0
32,0.25,0
32,0.5,0
32,0.75,0
32,1,0
32,1.25,0.29624149322509763
32,1.5,0.5135451507568359
32,1.75,0.5342577743530273
32,2,0.5344499206542969
32,5,3.352646484375
33,0,0
33,0.25,0
33,0.5,0
33,0.75,0
33,1,0
33,1.25,0.29624149322509763
33,1.5,0.5135451507568359
33,1.75,0.5342577743530273
33,2,0.5344499206542969
33,5,3.352646484375
34,0,0
34,0.25,0
34,0.5,0
34,0.75,0
34,1,0
34,1.25,0
34,1.5,0.15
34,1.75,0.08994142532348633
34,2,0.08
34,5,3.85
35,0,0
35,0.25,0
35,0.5,0
35,0.75,0
35,1,0
35,1.25,0.1910165786743164
35,1.5,0.5598771667480469
35,1.75,0.38873771667480467
35,2,0.3798771667480469
35,5,3.854434814453125
36,0,0
36,0.25,0
36,0.5,0
36,0.75,0
36,1,0
36,1.25,0.29624149322509763
36,1.5,0.5135451507568359
36,1.75,0.5342577743530273
36,2,0.5344499206542969
36,5,3.352646484375
37,0,0
37,0.25,0
37,0.5,0
37,0.75,0
37,1,0
37,1.25,0.08316646575927734
37,1.5,0.4290554428100586
37,1.75,0.211265926361084
37,2,0.15316646575927734
37,5,3.2890472412109375
38,0,0
38,0.25,0
38,0.5,0
38,0.75,0
38,1,0
38,1.25,0
38,1.5,0.22361288070678711
38,1.75,0
38,2,0
38,5,3.652784729003906
39,0,0
39,0.25,0
39,0.5,0
39,0.75,0
39,1,0
39,1.25,0.07667208671569824
39,1.5,0.39103797912597654
39,1.75,0.17440135955810546
39,2,0.13103798866271973
39,5,3.48422119140625
40,0,0
40,0.25,0
40,0.5,0
40,0.75,0
40,1,0
40,1.25,0.019806679487228394
40,1.5,0.20972288131713868
40,1.75,0.01
40,2,0
40,5,3.82991455078125
41,0,0
41,0.25,0
41,0.5,0
41,0.75,0
41,1,0
41,1.25,0
41,1.5,0
41,1.75,0
41,2,0
41,5,2.2405897521972657
42,0,0
42,0.25,0
42,0.5,0
42,0.75,0
42,1,0
42,1.25,0
42,1.5,0
42,1.75,0
42,2,0
42,5,2.565382385253906
43,0,0
43,0.25,0
43,0.5,0
43,0.75,0
43,1,0
43,1.25,0
43,1.5,0
43,1.75,0
43,2,0.02812415361404419
43,5,2.836111755371094
44,0,0
44,0.25,0
44,0.5,0
44,0.75,0
44,1,0
44,1.25,0
44,1.5,0
44,1.75,0
44,2,0
44,5,2.553309326171875
45,0,0
45,0.25,0
45,0.5,0
45,0.75,0
45,1,0
45,1.25,0.12314466476440429
45,1.5,0.5093748855590821
45,1.75,0.8331446838378906
45,2,1.1631446838378907
45,5,3.95314453125
46,0,0
46,0.25,0
46,0.5,0
