parcel_id,property_id,slr_m,storm,scenario,depth_m,duration_hr,flooded,source
103,6e0abbe95021795de4e36b121e68a5da,0.5,100-yr,SLR=0.5m | 100-yr,0.01,2.724531888961792,FALSE,CoSMoS
105,ae410f3f37648dc35b771f5aab1e56d4,0.5,100-yr,SLR=0.5m | 100-yr,0.52,1.7975685596466064,TRUE,CoSMoS
106,73954a6c37f948edfa2617a91452cf8d,0.5,100-yr,SLR=0.5m | 100-yr,0.29,3.8778748512268066,TRUE,CoSMoS
108,a084010d87e39dd79f2dabdd6931549a,0.5,100-yr,SLR=0.5m | 100-yr,0.21,5.43583345413208,TRUE,CoSMoS
109,330d0a0121adcdb385166b1fa14e3cec,0.5,100-yr,SLR=0.5m | 100-yr,0.11,6.536723613739014,FALSE,CoSMoS
110,104937a524980ecc2f672d7a542309ce,0.5,100-yr,SLR=0.5m | 100-yr,0.18,8.025915145874023,TRUE,CoSMoS
2,869b893718c34c2377679564cd7cd705,0.75,100-yr,SLR=0.8m | 100-yr,0.04,9.378973960876465,FALSE,CoSMoS
3,10e5c14b3b247bc4b07bb5b8fe680915,0.75,100-yr,SLR=0.8m | 100-yr,0.3,8.482233047485352,TRUE,CoSMoS
7,41677f225fa7418f32714a2a094c1244,0.75,100-yr,SLR=0.8m | 100-yr,0.3,8.482233047485352,TRUE,CoSMoS
8,d619cea82bb12f088e086e781113f17f,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
9,4fadfb3c3591c1ad79a801cfa01370d6,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
14,0f956c6f09175e6f22794d56a759228a,0.75,100-yr,SLR=0.8m | 100-yr,0.12,4.783808708190918,FALSE,CoSMoS
16,a24ca6112f4bac3344317057b836aa82,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
18,71471ead165734f3c23829d2bfd89b19,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
20,521d913398ccc88ae5ef7b7f1e9f7cfd,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
21,7df87557da5a77296076ccb323bd5592,0.75,100-yr,SLR=0.8m | 100-yr,0.45,10.232356071472168,TRUE,CoSMoS
22,9187a1f1d8484ebe2254d1c53ab43503,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
26,39a7d437e8e27b45576cf29f6e28a33d,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
27,9c30fbdf740c818d20ede323c68ed454,0.75,100-yr,SLR=0.8m | 100-yr,1.08,6.536561489105225,TRUE,CoSMoS
28,a73075107dd3cb34000ee4708056cb3f,0.75,100-yr,SLR=0.8m | 100-yr,0.01,9.590363502502441,FALSE,CoSMoS
30,f1685fa53e41991840a9cff8105898a0,0.75,100-yr,SLR=0.8m | 100-yr,0.3,8.482233047485352,TRUE,CoSMoS
31,bc49f4578caf3d4c87244cc6fc1432ac,0.75,100-yr,SLR=0.8m | 100-yr,0.3,8.482233047485352,TRUE,CoSMoS
32,b1abab57126ed2a9a88d737984c69b54,0.75,100-yr,SLR=0.8m | 100-yr,0.07,5.91995906829834,FALSE,CoSMoS
34,43cf192f76f781c71d1f0a86691b4b36,0.75,100-yr,SLR=0.8m | 100-yr,0.3,8.482233047485352,TRUE,CoSMoS
49,75a17d216fabd33638ad4d4b11287948,0.75,100-yr,SLR=0.8m | 100-yr,0.04,10.131454467773438,FALSE,CoSMoS
54,1b6278ab5c2822e50d92a662a920f9cd,0.75,100-yr,SLR=0.8m | 100-yr,0.05,7.793793201446533,FALSE,CoSMoS
58,c37bb3af3bc962b23be05ede85a95227,0.75,100-yr,SLR=0.8m | 100-yr,0.13,9.941828727722168,FALSE,CoSMoS
61,671f697ca683fcd3dfef97963abd2555,0.75,100-yr,SLR=0.8m | 100-yr,0.08,9.990487098693848,FALSE,CoSMoS
68,5dcd72919d0d813104e7c51b3d4f6aec,0.75,100-yr,SLR=0.8m | 100-yr,0.28,5.805622577667236,TRUE,CoSMoS
76,16e7c6a3126e8054624d86ca0fffa966,0.75,100-yr,SLR=0.8m | 100-yr,0.46,14.556485176086426,TRUE,CoSMoS
77,4ca0c29f2b81ba4765ed75f5ea1f4463,0.75,100-yr,SLR=0.8m | 100-yr,1.05,15.330376625061035,TRUE,CoSMoS
81,1e63e1365446d4a9a3a49fb69ae6a743,0.75,100-yr,SLR=0.8m | 100-yr,0.4,7.110973358154297,TRUE,CoSMoS
82,ec9891763c8b3865fe1cb0aef7d8808e,0.75,100-yr,SLR=0.8m | 100-yr,0.33,8.666813850402832,TRUE,CoSMoS
83,e313959d66f6c9b225346c79eefd5ead,0.75,100-yr,SLR=0.8m | 100-yr,0.41,10.147171974182129,TRUE,CoSMoS
89,b60fd96b598ea779713dadd50eec1981,0.75,100-yr,SLR=0.8m | 100-yr,0.08,7.225553035736084,FALSE,CoSMoS
93,bbf6fc2a9aec00a3780ed5c5d4db6759,0.75,100-yr,SLR=0.8m | 100-yr,0.14,9.656318664550781,FALSE,CoSMoS
94,5a3be30199394130a88d0b5148f0f24c,0.75,100-yr,SLR=0.8m | 100-yr,0.07,10.210179328918457,FALSE,CoSMoS
95,1481d2cba83d67f62612ec6043fe47b3,0.75,100-yr,SLR=0.8m | 100-yr,0.04,10.583447456359863,FALSE,CoSMoS
98,15a54683d8a643d8f5cc47a2d8c7e936,0.75,100-yr,SLR=0.8m | 100-yr,0.14,5.558568000793457,FALSE,CoSMoS
99,56520faaa42881bdc6a324b7a5e2502f,0.75,100-yr,SLR=0.8m | 100-yr,0.28,5.576551914215088,TRUE,CoSMoS
101,7154de47f0001ba146ad1ae5a62ee863,0.75,100-yr,SLR=0.8m | 100-yr,0.66,6.271835803985596,TRUE,CoSMoS
102,0d7b8f794fa3082a7c03026dec856247,0.75,100-yr,SLR=0.8m | 100-yr,0.66,6.271835803985596,TRUE,CoSMoS
103,6e0abbe95021795de4e36b121e68a5da,0.75,100-yr,SLR=0.8m | 100-yr,0.07,4.676714897155762,FALSE,CoSMoS
105,ae410f3f37648dc35b771f5aab1e56d4,0.75,100-yr,SLR=0.8m | 100-yr,0.61,4.390081882476807,TRUE,CoSMoS
106,73954a6c37f948edfa2617a91452cf8d,0.75,100-yr,SLR=0.8m | 100-yr,0.41,5.885205268859863,TRUE,CoSMoS
107,1ff31dc4768a9158d9473f7ded2e923a,0.75,100-yr,SLR=0.8m | 100-yr,0.05,4.9431023597717285,FALSE,CoSMoS
108,a084010d87e39dd79f2dabdd6931549a,0.75,100-yr,SLR=0.8m | 100-yr,0.33,7.38688850402832,TRUE,CoSMoS
109,330d0a0121adcdb385166b1fa14e3cec,0.75,100-yr,SLR=0.8m | 100-yr,0.26,8.430047035217285,TRUE,CoSMoS
110,104937a524980ecc2f672d7a542309ce,0.75,100-yr,SLR=0.8m | 100-yr,0.45,10.11299991607666,TRUE,CoSMoS
2,869b893718c34c2377679564cd7cd705,1,100-yr,SLR=1.0m | 100-yr,0.12,9.378973960876465,FALSE,CoSMoS
3,10e5c14b3b247bc4b07bb5b8fe680915,1,100-yr,SLR=1.0m | 100-yr,0.37,8.482233047485352,TRUE,CoSMoS
4,df5793d00b3dee7bc5de79f3adaa9fcb,1,100-yr,SLR=1.0m | 100-yr,0.01,7.479930877685547,FALSE,CoSMoS
7,41677f225fa7418f32714a2a094c1244,1,100-yr,SLR=1.0m | 100-yr,0.37,8.482233047485352,TRUE,CoSMoS
