parcel_id,scenario,cliff_scenario,retreat_year,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,retreat_trigger,timing_category,cliff_exposure_status,initial_cliff_dist_m,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
74,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2189.7523272025824,baseline,0.05,0.02,0.15,0,4307 Del Mar Ave,1897919,926184.472,971734.528,34.395977,-119.534326,94895.95000000001,NA,NA,NA
75,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2219.2912029073123,baseline,0.05,0.02,0.15,0,4301 Avenue Del Mar,6000000,3227547.9151426484,2772452.0848573516,34.396478,-119.534416,300000,NA,NA,NA
76,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2190.5625360187896,baseline,0.05,0.02,0.15,0,4327 Del Mar Ave,3237055,1579682.8399999999,1657372.1600000001,34.3966596,-119.5339743,161852.75,NA,NA,NA
77,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2167.130274674724,baseline,0.05,0.02,0.15,0,4347 Del Mar Ave,3164702,1544374.576,1620327.424,34.3966383,-119.5337054,158235.1,NA,NA,NA
78,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2142.931002813206,baseline,0.05,0.02,0.15,0,4365 Del Mar Ave,8005449,4306328.3716218,3699120.6283782003,34.3965544,-119.5334623,400272.45,NA,NA,NA
79,Intermediate,NA,81,TRUE,100,80.99,81,0.1,81,81,81,81,0,no_retreat,no_retreat,safe,2110.9341514209373,baseline,0.05,0.02,0.15,0,4377 Del Mar Ave,5270327,2571919.576,2698407.424,34.396214,-119.533268,263516.35000000003,NA,NA,NA
80,Intermediate,NA,81,TRUE,100,80.99,81,0.1,81,81,81,81,0,no_retreat,no_retreat,safe,2095.9633350261897,baseline,0.05,0.02,0.15,0,4387 Del Mar Ave,3462651,1689773.6879999998,1772877.3120000002,34.396189,-119.533103,173132.55000000002,NA,NA,NA
81,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2095.4451801992136,baseline,0.05,0.02,0.15,0,4393 Del Mar Ave,2682883,1309246.9039999999,1373636.0960000001,34.3964777,-119.5329353,134144.15,NA,NA,NA
82,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2084.56784499239,baseline,0.05,0.02,0.15,0,4405 Del Mar Ave,5740000,2801120,2938880,34.3965197,-119.5327801,287000,NA,NA,NA
83,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2073.531125999307,baseline,0.05,0.02,0.15,0,4411 Del Mar Ave,9228476,4964224.745623995,4264251.254376005,34.3965611,-119.5326227,461423.80000000005,NA,NA,NA
84,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2048.187917491842,baseline,0.05,0.02,0.15,0,4431 Del Mar Ave,2903509,1416912.392,1486596.608,34.3965778,-119.5323059,145175.45,NA,NA,NA
