"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE",NA,"Single Family Residential","135 Seadrift Rd","Stinson Beach","CA",94970,3605287,2,2,NA,1740,7500,2000,NA,1279,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/135-Seadrift-Rd-94970/home/1156826",NA,NA,"Y","Y",37.905003,-122.655817,"135 Seadrift Rd, Stinson Beach, CA",180264.35,15022.0291666667,15022.0291666667,"baseline_5pct",3.68,418.945554575493,0.418945554575493,64.5,1522,0,29,222,96875,463,15
"PAST SALE","May-12-2020","Single Family Residential","133 Seadrift Rd","Stinson Beach","CA",94970,3811286,2,2,"Stinson Beach",1814,7501,1990,NA,1544,263,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/133-Seadrift-Rd-94970/home/859473","BAREIS",21922931,"Y","Y",37.9049589,-122.6556887,"133 Seadrift Rd, Stinson Beach, CA",190564.3,15880.3583333333,15880.3583333333,"baseline_5pct",3.55,417.950688519506,0.417950688519506,64.5,1522,0,29,222,96875,463,15
"PAST SALE","September-19-2017","Single Family Residential","131 Seadrift Rd","Stinson Beach","CA",94970,3256159,2,2,"Stinson Beach",1499,7501,1970,NA,1551,233,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/131-Seadrift-Rd-94970/home/1280655","BAREIS",21718306,"Y","Y",37.9048542,-122.6555423,"131 Seadrift Rd, Stinson Beach, CA",162807.95,13567.3291666667,13567.3291666667,"baseline_5pct",3.67,409.600648812336,0.409600648812336,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","127 Seadrift Rd","Stinson Beach","CA",94970,4904884,3,4,NA,3305,15000,1981,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/127-Seadrift-Rd-94970/home/1045988",NA,NA,"Y","Y",37.9047263,-122.6550745,"127 Seadrift Rd, Stinson Beach, CA",245244.2,20437.0166666667,20437.0166666667,"baseline_5pct",3.6,410.337691894864,0.410337691894864,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","117 Seadrift Rd","Stinson Beach","CA",94970,4161970,2,3,NA,1907,7500,1981,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/117-Seadrift-Rd-94970/home/1269323",NA,NA,"Y","Y",37.9043478,-122.6541854,"117 Seadrift Rd, Stinson Beach, CA",208098.5,17341.5416666667,17341.5416666667,"baseline_5pct",3.61,393.772356529885,0.393772356529885,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","115 Seadrift Rd","Stinson Beach","CA",94970,3786630,2,2,NA,1671,7500,1980,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/115-Seadrift-Rd-94970/home/1050566",NA,NA,"Y","Y",37.9042556,-122.6540227,"115 Seadrift Rd, Stinson Beach, CA",189331.5,15777.625,15777.625,"baseline_5pct",3.39,387.697854700501,0.387697854700501,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","111 Seadrift Rd","Stinson Beach","CA",94970,3442514,3,2,NA,2277,10750,1991,NA,312,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/111-Seadrift-Rd-94970/home/908887",NA,NA,"Y","Y",37.9040773,-122.6537207,"111 Seadrift Rd, Stinson Beach, CA",172125.7,14343.8083333333,14343.8083333333,"baseline_5pct",3.6,375.472518592957,0.375472518592957,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","103 Seadrift Rd","Stinson Beach","CA",94970,3372051,3,2,NA,2388,11750,1990,NA,287,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/103-Seadrift-Rd-94970/home/1250602",NA,NA,"Y","Y",37.9042034,-122.6534796,"103 Seadrift Rd, Stinson Beach, CA",168602.55,14050.2125,14050.2125,"baseline_5pct",2.9,401.328794758569,0.401328794758569,64.5,1522,0,29,222,96875,463,15
"PAST SALE","December-4-2014","Single Family Residential","101 Seadrift Rd","Stinson Beach","CA",94970,3909355,3,3,"Stinson Beach",2402,11252,1992,NA,1030,221,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/101-Seadrift-Rd-94970/home/721012","BAREIS",21413017,"Y","Y",37.9043643,-122.6532261,"101 Seadrift Rd, Stinson Beach, CA",195467.75,16288.9791666667,16288.9791666667,"baseline_5pct",2.8,432.271599672804,0.432271599672804,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","3 Walla Vis","Stinson Beach","CA",94970,2852022,2,2,NA,1682,7918,1981,NA,213,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/3-Walla-Vis-94970/home/1372984",NA,NA,"Y","Y",37.903797,-122.6523568,"3 Walla Vis, Stinson Beach, CA",142601.1,11883.425,11883.425,"baseline_5pct",2.75,389.907844435574,0.389907844435574,64.5,1522,0,29,222,96875,463,15
