SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,NA,Single Family Residential,323 Seadrift Rd,Stinson Beach,CA,94970,3227534,3,2,NA,2006,18200,1980,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/323-Seadrift-Rd-94970/home/22614750,NA,NA,Y,Y,37.9075746,-122.6750648,"323 Seadrift Rd, Stinson Beach, CA",161376.7,13448.058333333334,13448.058333333334,baseline_5pct,3.62,207.71870508307967,0.20771870508307966,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,September-28-2011,Single Family Residential,321 Seadrift Rd,Stinson Beach,CA,94970,4086663,1,1.5,Stinson Beach,1044,18905,1979,NA,2155,200,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/321-Seadrift-Rd-94970/home/721907,BAREIS,21114775,Y,Y,37.9076179,-122.6748851,"321 Seadrift Rd, Stinson Beach, CA",204333.15000000002,17027.7625,17027.7625,baseline_5pct,3.17,208.91179552030712,0.20891179552030711,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,319 Seadrift Rd,Stinson Beach,CA,94970,3600000,3,3,NA,2262,21000,1979,NA,1592,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/319-Seadrift-Rd-94970/home/1364401,NA,NA,Y,Y,37.9076752,-122.6745846,"319 Seadrift Rd, Stinson Beach, CA",180000,15000,15000,baseline_5pct,3.85,208.83615934920033,0.20883615934920033,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,317 Seadrift Rd,Stinson Beach,CA,94970,5837917,4,4,NA,3762,22400,1981,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/317-Seadrift-Rd-94970/home/22367725,NA,NA,Y,Y,37.907673,-122.6743294,"317 Seadrift Rd, Stinson Beach, CA",291895.85000000003,24324.65416666667,24324.65416666667,baseline_5pct,3.56,201.8003775142135,0.20180037751421348,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,April-8-2004,Single Family Residential,315 Seadrift Rd,Stinson Beach,CA,94970,6536400,4,3,Stinson Beach,2800,NA,1989,NA,1070,131,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/315-Seadrift-Rd-94970/home/22614751,San Francisco MLS,260522,Y,Y,37.9076668,-122.6741652,"315 Seadrift Rd, Stinson Beach, CA",326820,27235,27235,baseline_5pct,3.49,196.61763841444596,0.19661763841444596,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,311 Seadrift Rd,Stinson Beach,CA,94970,4847080,4,4,NA,2278,23800,1996,NA,285,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/311-Seadrift-Rd-94970/home/1209832,NA,NA,Y,Y,37.9078842,-122.6738563,"311 Seadrift Rd, Stinson Beach, CA",242354,20196.166666666668,20196.166666666668,baseline_5pct,3.49,218.26492416156844,0.21826492416156845,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,307 Seadrift Rd,Stinson Beach,CA,94970,4557362,3,4,NA,2044,26600,1980,NA,294,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/307-Seadrift-Rd-94970/home/721983,NA,NA,Y,Y,37.908027,-122.6733803,"307 Seadrift Rd, Stinson Beach, CA",227868.1,18989.008333333335,18989.008333333335,baseline_5pct,2.94,225.2775490175025,0.22527754901750252,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,303 Seadrift Rd,Stinson Beach,CA,94970,3220768,3,2,NA,1660,9000,1988,NA,857,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/303-Seadrift-Rd-94970/home/721948,NA,NA,Y,Y,37.9075146,-122.6729586,"303 Seadrift Rd, Stinson Beach, CA",161038.40000000002,13419.866666666669,13419.866666666669,baseline_5pct,3.62,143.91612602430214,0.14391612602430215,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,301 Seadrift Rd,Stinson Beach,CA,94970,3162144,3,2,NA,1633,7500,1981,NA,281,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/301-Seadrift-Rd-94970/home/756461,NA,NA,Y,Y,37.9075441,-122.6727632,"301 Seadrift Rd, Stinson Beach, CA",158107.2,13175.6,13175.6,baseline_5pct,3.24,142.80338808353653,0.14280338808353654,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,299 Seadrift Rd,Stinson Beach,CA,94970,1994900,2,2,NA,902,7500,2001,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/299-Seadrift-Rd-94970/home/1388452,NA,NA,Y,Y,37.9075208,-122.6726094,"299 Seadrift Rd, Stinson Beach, CA",99745,8312.083333333334,8312.083333333334,baseline_5pct,2.84,135.79390071237657,0.13579390071237657,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,September-4-2020,Single Family Residential,297 Seadrift Rd,Stinson Beach,CA,94970,3809955,2,2,Stinson Beach,1804,7501,1980,NA,1705,263,Sold,NA,NA,https://www.redfin.com/CA/Stinson-Beach/297-Seadrift-Rd-94970/home/723724,BAREIS,22015275,Y,Y,37.9074898,-122.6723473,"297 Seadrift Rd, Stinson Beach, CA",190497.75,15874.8125,15874.8125,baseline_5pct,3.09,129.33146426874603,0.12933146426874603,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,295 Seadrift Rd,Stinson Beach,CA,94970,4644771,2,3,NA,2324,7500,1981,NA,1377,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/295-Seadrift-Rd-94970/home/979049,NA,NA,Y,Y,37.9075111,-122.6721507,"295 Seadrift Rd, Stinson Beach, CA",232238.55000000002,19353.2125,19353.2125,baseline_5pct,3.19,134.93368477116772,0.1349336847711677,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,293 Seadrift Rd,Stinson Beach,CA,94970,3402444,3,3,NA,1872,7500,2002,NA,160,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/293-Seadrift-Rd-94970/home/751538,NA,NA,Y,Y,37.9075102,-122.6719231,"293 Seadrift Rd, Stinson Beach, CA",170122.2,14176.85,14176.85,baseline_5pct,3.28,141.97599939237114,0.14197599939237113,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,289 Seadrift Rd,Stinson Beach,CA,94970,3367051,2,2,NA,1908,7500,1980,NA,603,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/289-Seadrift-Rd-94970/home/1338822,NA,NA,Y,Y,37.9075003,-122.6713763,"289 Seadrift Rd, Stinson Beach, CA",168352.55000000002,14029.379166666668,14029.379166666668,baseline_5pct,3.53,161.35914793912426,0.16135914793912426,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,287 Seadrift Rd,Stinson Beach,CA,94970,3960813,3,3,NA,1915,7500,2018,NA,6,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/287-Seadrift-Rd-94970/home/22390693,NA,NA,Y,Y,37.9074928,-122.6713092,"287 Seadrift Rd, Stinson Beach, CA",198040.65000000002,16503.3875,16503.3875,baseline_5pct,3.1,162.90380424730557,0.16290380424730558,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,279 Seadrift Rd,Stinson Beach,CA,94970,3690242,3,2,NA,1720,7500,1969,NA,NA,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/279-Seadrift-Rd-94970/home/723729,NA,NA,Y,Y,37.9075071,-122.6704604,"279 Seadrift Rd, Stinson Beach, CA",184512.1,15376.008333333333,15376.008333333333,baseline_5pct,3.35,196.92874872110144,0.19692874872110144,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,277 Seadrift Rd,Stinson Beach,CA,94970,3576593,3,3,NA,1638,7500,1964,NA,919,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/277-Seadrift-Rd-94970/home/1149392,NA,NA,Y,Y,37.9074429,-122.6702711,"277 Seadrift Rd, Stinson Beach, CA",178829.65000000002,14902.470833333335,14902.470833333335,baseline_5pct,3.74,195.5756535435723,0.1955756535435723,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,275 Seadrift Rd,Stinson Beach,CA,94970,2426688,4,1,NA,1502,7500,1969,NA,562,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/275-Seadrift-Rd-94970/home/721955,NA,NA,Y,Y,37.9074602,-122.670059,"275 Seadrift Rd, Stinson Beach, CA",121334.40000000001,10111.2,10111.2,baseline_5pct,3.73,205.8991702299315,0.2058991702299315,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,273 Seadrift Rd,Stinson Beach,CA,94970,3410078,1,2,NA,1707,7500,1981,NA,190,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/273-Seadrift-Rd-94970/home/1201149,NA,NA,Y,Y,37.9074607,-122.6698327,"273 Seadrift Rd, Stinson Beach, CA",170503.90000000002,14208.658333333335,14208.658333333335,baseline_5pct,3.45,214.53110105166138,0.21453110105166137,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,267 Seadrift Rd,Stinson Beach,CA,94970,3142354,3,2,NA,1521,8500,1962,NA,751,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/267-Seadrift-Rd-94970/home/1187266,NA,NA,Y,Y,37.9074588,-122.6691998,"267 Seadrift Rd, Stinson Beach, CA",157117.7,13093.141666666668,13093.141666666668,baseline_5pct,3.67,238.23464594438752,0.23823464594438754,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
PAST SALE,NA,Single Family Residential,261 Seadrift Rd,Stinson Beach,CA,94970,3751335,2,2,NA,2154,7500,1981,NA,265,NA,NA,NA,NA,https://www.redfin.com/CA/Stinson-Beach/261-Seadrift-Rd-94970/home/883480,NA,NA,Y,Y,37.9074196,-122.6685435,"261 Seadrift Rd, Stinson Beach, CA",187566.75,15630.5625,15630.5625,baseline_5pct,3.19,257.8748421458335,0.2578748421458335,64.5,1522,0,29,222,96875,463,15,flood,f1f52a7ffb0a6eecd31a875d953cbe0f
