SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,127 Dipsea Rd,Stinson Beach,CA,94970,670000,2,2.0,,1894,7500,1987,,354,,,,,https://www.redfin.com/CA/Stinson-Beach/127-Dipsea-Rd-94970/home/722693,,,Y,Y,37.9080318,-122.6638337
PAST SALE,,Single Family Residential,129 Dipsea Rd,Stinson Beach,CA,94970,1620000,2,2.0,,1998,7500,1995,,811,,,,,https://www.redfin.com/CA/Stinson-Beach/129-Dipsea-Rd-94970/home/1118882,,,Y,Y,37.907984,-122.6640414
PAST SALE,June-28-2019,Single Family Residential,131 Dipsea Rd,Stinson Beach,CA,94970,4000000,3,3.0,Stinson Beach,1955,7501,1975,,2046,242,Sold,,,https://www.redfin.com/CA/Stinson-Beach/131-Dipsea-Rd-94970/home/1213898,BAREIS,21910302,Y,Y,37.9079693,-122.664256
PAST SALE,,Single Family Residential,135 Dipsea Rd,Stinson Beach,CA,94970,2000000,3,4.0,,2467,15000,1982,,811,,,,,https://www.redfin.com/CA/Stinson-Beach/135-Dipsea-Rd-94970/home/787400,,,Y,Y,37.9079065,-122.6645334
PAST SALE,September-6-2019,Single Family Residential,137 Dipsea Rd,Stinson Beach,CA,94970,3800000,4,2.0,Stinson Beach,2252,7501,1989,,1687,263,Sold,,,https://www.redfin.com/CA/Stinson-Beach/137-Dipsea-Rd-94970/home/1265499,BAREIS,21921933,Y,Y,37.907834,-122.6648617
PAST SALE,,Single Family Residential,139 Dipsea Rd,Stinson Beach,CA,94970,,3,3.0,,2416,11250,1987,,,,,,,https://www.redfin.com/CA/Stinson-Beach/139-Dipsea-Rd-94970/home/722686,,,Y,Y,37.9078622,-122.6651145
PAST SALE,,Single Family Residential,143 Dipsea Rd,Stinson Beach,CA,94970,835000,3,2.0,,2925,11250,1991,,285,,,,,https://www.redfin.com/CA/Stinson-Beach/143-Dipsea-Rd-94970/home/1310255,,,Y,Y,37.9078656,-122.6654275
PAST SALE,November-6-2019,Single Family Residential,145 Dipsea Rd,Stinson Beach,CA,94970,4000000,3,2.0,Stinson Beach,2409,7501,1987,,1660,263,Sold,,,https://www.redfin.com/CA/Stinson-Beach/145-Dipsea-Rd-94970/home/1250612,BAREIS,21923398,Y,Y,37.9078742,-122.6656865
PAST SALE,,Single Family Residential,147 Dipsea Rd,Stinson Beach,CA,94970,819000,2,2.0,,1811,7500,1986,,452,,,,,https://www.redfin.com/CA/Stinson-Beach/147-Dipsea-Rd-94970/home/1027173,,,Y,Y,37.9078886,-122.6659013
PAST SALE,June-12-2020,Single Family Residential,149 Dipsea Rd,Stinson Beach,CA,94970,2700000,3,2.0,Seadrift,2101,7501,1988,,1285,263,Sold,,,https://www.redfin.com/CA/Stinson-Beach/149-Dipsea-Rd-94970/home/1436021,BAREIS,21914529,Y,Y,37.9078989,-122.6661108
PAST SALE,September-27-2005,Single Family Residential,151 Dipsea,Stinson Beach,CA,94970,1925000,3,2.0,Stinson Beach,2026,11238,1990,,950,140,Sold,,,https://www.redfin.com/CA/Stinson-Beach/151-Dipsea-Rd-94970/home/951175,San Francisco MLS,282961,Y,Y,37.9078924,-122.6663869
PAST SALE,September-28-2018,Single Family Residential,155 Dipsea Rd,Stinson Beach,CA,94970,3650000,3,3.5,Stinson Beach,2825,11252,1988,,1292,242,Sold,,,https://www.redfin.com/CA/Stinson-Beach/155-Dipsea-Rd-94970/home/889051,BAREIS,21821550,Y,Y,37.9079481,-122.6666765
PAST SALE,,Single Family Residential,161 Dipsea Rd,Stinson Beach,CA,94970,2337000,3,2.0,,2880,22500,1983,,811,,,,,https://www.redfin.com/CA/Stinson-Beach/161-Dipsea-Rd-94970/home/823954,,,Y,Y,37.9079624,-122.6671591
PAST SALE,,Single Family Residential,167 Dipsea Rd,Stinson Beach,CA,94970,2100000,3,3.0,,2501,15000,1981,,840,,,,,https://www.redfin.com/CA/Stinson-Beach/167-Dipsea-Rd-94970/home/1285144,,,Y,Y,37.9080355,-122.6680171
